Keyword Stats 2022-05-28 at 09_02_52
2020年5月1日 - 2022年4月30日
Keyword	Currency	Avg. monthly searches	三个月变化	年同比变化	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: May 2020	Searches: Jun 2020	Searches: Jul 2020	Searches: Aug 2020	Searches: Sep 2020	Searches: Oct 2020	Searches: Nov 2020	Searches: Dec 2020	Searches: Jan 2021	Searches: Feb 2021	Searches: Mar 2021	Searches: Apr 2021	Searches: May 2021	Searches: Jun 2021	Searches: Jul 2021	Searches: Aug 2021	Searches: Sep 2021	Searches: Oct 2021	Searches: Nov 2021	Searches: Dec 2021	Searches: Jan 2022	Searches: Feb 2022	Searches: Mar 2022	Searches: Apr 2022	Concept: Computer	Concept: Company	Concept: Other Brands	Concept: Non-Brands	Concept: Device	Concept: Others	Concept: Element
capcut desktop version	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	0	10	10	10	10	10	10	10	"computer, desktop"			Non-Brands			download for pc
video capcut download	SGD	10	0%	∞	低	29							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	10	10	10	10				Non-Brands		video editing	
download capcut apk for pc	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0				Non-Brands	android	apk	download for pc
video editor like capcut	SGD	10	100%	100%	高	73	0.85	3.68					Y	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20				Non-Brands		"video editing, video editor"	
capcut no download	SGD	20	-43%	100%	低	24	0.47	1.07					Y	0	0	0	0	0	0	0	10	20	30	20	20	30	30	30	20	20	40	70	50	40	70	50	40				Non-Brands			
capcut video editor free download	SGD	10	0%	0%	低	21	0.54	2.05					Y	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	0	0	10	0	10	10	10	10	10				Non-Brands	android	"video editing, apk, video editor"	
capcut 3d zoom effect download	SGD	10	-50%	∞	低	4							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	30	10	10	10	20	10	10			zoom				
cap cut tik tok	SGD	20	50%	200%	低	0							Y	0	0	10	10	30	0	10	10	10	20	20	10	50	30	10	10	10	90	30	30	40	20	20	30				Non-Brands			
capcut for windows 10 download	SGD	10	0%	0%	低	2							Y	0	0	0	0	0	0	0	0	10	10	10	10	30	0	10	10	0	0	10	10	10	10	10	10				Non-Brands	windows		download for pc
capcut pro download apk	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	10	0	0	0	0	0				Non-Brands	android	"apk, pro"	
capcut chinese apk download	SGD	10	0%	0%	未知								Y	0	0	0	0	0	10	0	0	10	10	0	0	10	10	10	10	10	0	0	0	0	0	10	0				Non-Brands	android	"apk, chinese"	
capcut download free pc	SGD	10	0%	0%	低	21							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0	10	10	10	10	10	10				Non-Brands			download for pc
capcut ipa	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	20	10	10	10				Non-Brands	ipad		
capcut free download for windows 10	SGD	10	∞	0%	低	29							Y	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	0	10	10				Non-Brands	windows		download for pc
template capcut viral	SGD	10	0%	∞	低	2							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	10				Non-Brands			
capcut 3d style	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	0			zoom				
cara cut video di capcut	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0				Non-Brands		2021	
capcut 2021 download	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	10	0	0	10	0	0	0				Non-Brands	android	"apk, 2021"	
capcut video maker	SGD	10	100%	100%	低	33	1.07	4.19					Y	0	0	0	0	0	0	0	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20				Non-Brands		"video editing, video editor"	
capcut apk iphone	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	0	10	0				Non-Brands	"android, ios, iphone"	apk	
video editor like capcut for pc	SGD	10	50%	200%	高	100	0.66	2.45					Y	0	0	0	0	0	0	0	0	0	0	10	10	10	20	20	20	20	20	10	10	10	20	20	30				Non-Brands	windows	"video editing, video editor"	
capcut for ipad	SGD	10	-50%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	10	20	10	10	10	20	10	20	20	20	10	30	20	20	10				Non-Brands	"ios, ipad"		
best capcut filters	SGD	10	33%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	40	30	30	40	30	30	40				Non-Brands	android	video editing	
capcut app android	SGD	10	0%	0%	低	20							Y	0	0	0	0	0	0	0	0	10	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	android		
download cap cut for pc	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	0	0	0	10	0	0	10	10	10	10	10	0	0	0	10	10	10	10	0				Non-Brands	windows		download for pc
app similar to capcut	SGD	10	0%	∞	低	21							Y	0	0	0	0	0	0	0	10	0	10	10	0	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands			
cup cut download for pc	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	10	0	0	0	0	0	10				Non-Brands			download for pc
open cap cut	SGD	10	0%	-67%	低	0							Y	0	0	0	0	0	0	0	10	20	10	20	30	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands			
capcut app for windows 10	SGD	10	0%	0%	低	5							Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	windows		download for pc
capcut free download pc	SGD	10	0%	0%	低	10							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands			download for pc
capcut for laptop free	SGD	10	∞	0%	低	0							Y	0	0	0	0	0	0	0	0	10	10	10	10	0	0	10	10	10	0	10	10	0	0	0	10	laptop			Non-Brands			
cupcat editor apk download	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0				Non-Brands	android	"video editing, apk, video editor"	
capcut video editor pc	SGD	10	0%	0%	中	46	0.92	2.03					Y	0	0	0	0	0	10	10	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	windows	"video editing, video editor"	download for pc
capcut app online	SGD	10	0%	0%	低	9							Y	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands			
capcut editor pc	SGD	10	0%	0%	低	32	0.77	1.74					Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	windows	"video editing, video editor"	download for pc
cap cut photo editor	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	0	10	10	10	10	10	20	10	0	0	10	20	10	10	0	10	10	0	0				Non-Brands	android	"2021, photo"	
capcut help	SGD	10	-33%	∞	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	0	30	30	20	20	20	30	10	20	20	30	30	20				Non-Brands		video editing	
capcut apk link	SGD	10	∞	0%	低	5							Y	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	0	0	10	0	10	0	0	0	10				Non-Brands	android	apk	
cap cut editor video	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	10	10	10	0	10	0	10	0	0	0	10	0	10	10	0	10				Non-Brands		"video editing, video editor, 2021"	
capcut ios india	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	10	0	10	0	0	0				Non-Brands	"android, ios"		
capcut photo video editor	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	10	0	10	10	0	10	0	10	10	10	10	10	0	10	0				Non-Brands		"video editing, video editor, photo"	
capcut manual	SGD	10	0%	∞	低	2							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	10	10	10				Non-Brands			
effect capcut	SGD	10	0%	100%	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	20	10	10	20	10	10	10	20	10	20				Non-Brands		video editing	
viamaker app download apk	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0				Non-Brands	android	apk	
viamaker for pc	SGD	10	0%	200%	低	6	0.84	2.18					Y	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	40	30	40	30				Non-Brands			download for pc
capcut apk 2020	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0				Non-Brands	android	"apk, 2020"	
capcut online editor for pc	SGD	10	0%	∞	中	49	0.70	1.59					Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	10	10	10	10	10	10	10				Non-Brands		"video editing, video editor"	
app capcut pc	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	10	0	10	10	0	10				Non-Brands			download for pc
cap cut login	SGD	10	0%	100%	低	1							Y	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20				Non-Brands		login	
capcut download windows 7	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	10	10	0	10	0	10	0	10	0	0	0	0	10	10	0	10				Non-Brands	windows		download for pc
capcut transparent background	SGD	20	40%	133%	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	30	40	30	30	40	40	50	40	30	20	50	50	70				Non-Brands			
capcut for free	SGD	10	0%	0%	低	31	0.56	1.38					Y	0	0	0	0	0	0	0	0	10	10	10	30	20	10	20	20	10	10	10	30	20	30	20	30				Non-Brands		video editing	
capcut download for windows 10	SGD	10	0%	0%	低	6							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	20	10	10	10	10				Non-Brands	windows		download for pc
capcut for pc apk	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	10	10	0	10	0	10	10	0	10				Non-Brands	android	apk	download for pc
capcut like app	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	10	0	10	0	0	10	10	10	10	10	10	0	10	10	10	0	0				Non-Brands		video editing	
cap cut update	SGD	10	0%	∞	低	6							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	0	10	10	10				Non-Brands			
wallpaper editor capcut	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0				Non-Brands		"video editing, video editor"	
capcut app free download for android	SGD	10	∞	0%	低	11							Y	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	0	10	10	10	0	0	0	0	10				Non-Brands	android	video editing	
capcut download pc free	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	10	10	0	0	10	10	10	10	10				Non-Brands			download for pc
download capcut yang ada template	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10				Non-Brands			
capcut 3d edit	SGD	10	-86%	∞	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	0	40	30	10	10	10	30	10	10	50	70	10	10				Non-Brands		"video editing, video editor"	
capcut 3d zoom app	SGD	10	0%	∞	低	9							Y	0	0	0	0	0	0	0	0	0	0	0	0	50	10	10	10	10	10	10	10	10	10	10	10			zoom				
capcut softonic	SGD	10	∞	0%	低	14							Y	0	0	0	0	0	0	0	0	10	0	10	10	10	10	0	0	10	0	10	0	0	0	0	10			softonic		android	"apk, video editor"	
capcut pc windows	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	0	0	10	10	0	10	10	10	10	10	10	10	10	computer			Non-Brands	windows		download for pc
download capcut korea	SGD		 --	 --	未知								Y																												Non-Brands			
cap cut for pc download	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	10	0	10	10	0	10	0	0	0	10	10	10	10	10	0	10				Non-Brands	windows		download for pc
capcut 5.1 apk	SGD		 --	 --	未知								Y																												Non-Brands	android	apk	
capcut free apk download	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	0				Non-Brands	android	apk	
capcut on pc download	SGD	10	100%	100%	低	8							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	20	10	10	10	20	20	20	10	10	20				Non-Brands			download for pc
capcut tiktok app	SGD	10	0%	0%	低	11							Y	0	0	0	0	0	0	0	0	0	0	10	10	20	10	10	10	0	10	10	0	10	10	10	10				Non-Brands			
capcut hd	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	10	0	10	10	10	10	10				Non-Brands		2021	
capcut pro apk pc	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0				Non-Brands	android	"apk, pro"	download for pc
capcut 2020 apk	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	0	10	10				Non-Brands	android	"apk, 2020"	
capcut on desktop	SGD	10	200%	200%	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	20	20	10	20	30	"computer, desktop"			Non-Brands			download for pc
app store capcut	SGD	10	0%	0%	低	14							Y	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10				Non-Brands		app store	
capcut for pc download windows 7	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	10	0				Non-Brands	windows		download for pc
cutcap editor	SGD	30	-20%	33%	低	12	0.78	2.57					Y	0	0	0	0	0	0	0	0	0	0	0	30	70	70	50	40	30	40	40	50	70	50	20	40				Non-Brands		"video editing, apk, video editor"	
capcut pro app	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	10	10	10	10	0	10	0	0	10	0	10	0	10	10	0	10				Non-Brands	android	"video editing, pro"	
capcut editing app download	SGD	10	0%	∞	低	29	0.47	1.23					Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	10	10	10	10	10	10				Non-Brands	android	"video editing, video editor"	
cap cut windows 10	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	10	10	10	10	10	10	0	10	10	0	10	10	10	10	10	10				Non-Brands	windows		
capcut free use	SGD	10	0%	0%	中	43							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	0	10	10	10	10	10	10	10	10	10	10				Non-Brands		video editing	
capcut video editor download for pc	SGD	10	0%	∞	中	39	0.82	3.24					Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	10	10	10	10	10	10				Non-Brands		"video editing, video editor"	download for pc
capcut 3d download	SGD	10	0%	∞	低	10							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	20	10	0	10	10	10	10				Non-Brands			
capcut computer download	SGD	10	0%	0%	低	18							Y	0	0	0	0	0	0	0	0	0	10	10	10	20	10	10	10	10	10	20	30	70	10	10	10	computer			Non-Brands			download for pc
cap cut play store	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	10	10	0	10	0	0	10	10	0	0	0	10	0	10	10	10	0	10				Non-Brands		app store	
capcut tiktok download	SGD	10	∞	0%	低	12							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	0	10	0	10	10				Non-Brands			
download capcut for free	SGD	10	100%	100%	低	29	0.09	1.08					Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	20	10	10	10	20	10	10	10	20				Non-Brands	android	apk	
capcut 2019	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	10	0	0	0				Non-Brands	android		
cutcap video editor	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	10	10	10	0	0	10	0				Non-Brands		"video editing, apk, video editor"	
cara edit video agar hd di capcut	SGD	0	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Non-Brands		video editor	
capcut app new version	SGD	10	0%	∞	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	10	0	10	10	10	10	10				Non-Brands	android	video editing	
capcut download in laptop	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	10	0	0	0	laptop			Non-Brands			
capcut vip	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	10	0	0	10	0	10				Non-Brands	android	"apk, 2021"	
capcut pc mac	SGD	10	0%	0%	低	5							Y	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	10				Non-Brands	mac		
capcut background video	SGD	10	0%	-50%	低	6							Y	0	0	0	0	0	0	0	0	0	0	10	20	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands		video editing	
capcut download on pc	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands			download for pc
cap cut install	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	10	10	10	10	0	10	10	10	0	10	10	10	10	10	10				Non-Brands			
capcut 3d effect android	SGD	10	0%	∞	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	10	10	10	10	10	10				Non-Brands	android		
capcut download for ios	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	10	0	10	10	10	10	10	10	10	10	10	0	10				Non-Brands	"android, ios"		
capcut app tiktok	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	10	0	0	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands		video editing	
capcut app download for iphone	SGD	10	0%	0%	低	21							Y	0	0	0	0	0	0	0	0	0	10	10	10	0	10	10	10	10	10	10	10	0	10	10	10				Non-Brands	iphone		
apps like capcut for android	SGD	10	0%	0%	中	48							Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	android		
capcut editor free download	SGD	10	∞	0%	低	26							Y	0	0	0	0	0	0	0	10	0	0	0	10	10	10	10	0	10	0	10	0	10	0	0	10				Non-Brands		"video editing, apk, video editor"	
update capcut app	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	10	0	0	10	10	0	10	10	10	10	10	10	10	10	10				Non-Brands	android		
capcut chinese app ios	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	0	10	0				Non-Brands	ios	chinese	
capcut app video editor	SGD	10	0%	∞	中	40	0.81	2.77					Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	10	10	10	10	10	10				Non-Brands	android	"video editing, video editor"	
capcut new version 2021	SGD	10	∞	∞	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	0	0	0	10				Non-Brands		"video editing, apk, 2021"	
download capcut for ios	SGD	10	∞	∞	低	6							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0	10	10				Non-Brands	"android, ios"		
capcut pc download apk	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	10	0	0	0	0	10	0	0	0				Non-Brands	android	apk	download for pc
capcut android download	SGD	10	∞	0%	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	0	0	0	0	10				Non-Brands	android		
capcut apk windows 10	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	0	10	0	0	10	10	0				Non-Brands	"android, windows"	apk	download for pc
capcut price	SGD	10	150%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	20	20	20	20	20	40	20	40	50				Non-Brands			
cap cut apk pc	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0				Non-Brands	android	apk	download for pc
capcut on chromebook	SGD	30	-29%	67%	低	7	0.62	1.38					Y	0	0	0	0	0	0	0	0	10	10	30	30	40	50	50	30	30	40	50	90	70	70	90	50				Non-Brands	android	video editing	
edit video tiktok capcut	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	10	0	0	0	10	0	10	0	10	10	10	10	0	0	10	0	10	10				Non-Brands		"video editing, video editor"	
kinemaster capcut	SGD	10	∞	0%	中	57							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	0	10	0	0	0	10	10	10	0	0	10			kinemaster		android		
capcut download for desktop	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	0	10	0	10	10	0	desktop			Non-Brands	windows		download for pc
capcut free download laptop	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	10	10	0	0	10	10	0	0	0	10	10	0	0	0	0	laptop			Non-Brands			
capcut new effect	SGD	10	100%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	50	10	10	10	20	30	40				Non-Brands			
capcut free edit online	SGD	10	∞	0%	低	31	0.59	0.96					Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0	10	10	0	10	0	0	10				Non-Brands		"video editing, video editor"	
capcut update 2020	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	0	10	0	0				Non-Brands		"apk, 2020"	
capcut editor video apk	SGD	10	∞	∞	中	43							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	0	0	0	0	0	10	10				Non-Brands	android	"apk, video editor"	
capcut in windows	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	10	10	0	0	0				Non-Brands	windows		download for pc
capcut on android	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	20	10	10	10				Non-Brands	android		
capcut template app download	SGD	10	180%	∞	低	12	0.81	1.73					Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	50	50	140				Non-Brands	android	video editing	
cara buat video capcut	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0				Non-Brands		2021	
my capcut	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	10	10	10	10	10	10	10	10	10				Non-Brands			
cap cut laptop	SGD	10	0%	∞	低	7							Y	0	0	0	0	0	0	0	10	10	10	10	0	10	10	10	10	10	10	10	10	10	10	10	10	laptop			Non-Brands			
capcut up to down	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0			up to down		android		
cap cut cut	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	0	0	0	10				Non-Brands		2021	
3d parallax & capcut app	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	10	0	0	10	0	0	0				Non-Brands	android		
download cap cut app	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	0	10	10	10	10	0	10	0	0	0	0	10	0	0	0	0	0				Non-Brands	android	video editing	
capcut apple store	SGD	10	0%	0%	低	0							Y	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10		apple				app store	
cap cut apk free download	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	10	0	10	0	0	10	0	10	0	0	0	0	0	0	10	0				Non-Brands	android	apk	
capcut 3d android	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	0	0	0	0	0				Non-Brands	android	2021	
capcut for pc free	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	10	10	0	10	10	10	0				Non-Brands	windows		download for pc
capcut for windows download	SGD	10	0%	0%	低	14							Y	0	0	0	0	0	0	0	10	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	windows		download for pc
cap cut editing	SGD	210	0%	-95%	低	13	0.89	2.11					Y	0	30	30	30	30	70	170	320	590	590	880	590	720	390	50	40	30	30	20	30	30	30	30	30				Non-Brands		"video editing, video editor"	
capcut pro apk download pc	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	0	0	0	0				Non-Brands	android	"apk, pro"	download for pc
capcut apk download for laptop	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	10	0	laptop			Non-Brands		apk	
capcut safe	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	30	10	10	10	10	10	10				Non-Brands			
capcut for	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands			download for pc
capcut for ios download	SGD	10	0%	∞	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	0	0	10	10	10	10				Non-Brands	"android, ios"		
capcut app for mac	SGD	10	0%	0%	低	12	0.78	1.21					Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	20	30	20	20	20	10	20	10	30	10				Non-Brands	mac		download for mac
capcut download on laptop	SGD	20	75%	600%	低	5	0.77	2.09					Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	40	70	50	40	40	70	laptop			Non-Brands			
capcut video editor free download for pc	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	0	0	0	10	0	10	10	10	0				Non-Brands		"video editing, video editor"	download for pc
copcut editor apk	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0				Non-Brands	android	"apk, video editor"	
capcut apk app download	SGD	10	∞	∞	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	10				Non-Brands	android	apk	
download cap cut pc	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	10	0	computer			Non-Brands			download for pc
cap cut template	SGD	70	0%	∞	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	30	70	590	320	590				Non-Brands			
